,clase,veil-color,ring-type,population,habitat
213,e,w,p,s,g
214,e,w,p,n,m
215,e,w,p,s,g
216,e,w,p,s,g
217,e,w,p,s,g
218,e,w,p,v,u
219,e,w,p,n,m
220,p,w,p,s,g
221,e,w,p,s,g
222,e,w,p,v,d
223,e,w,p,n,m
224,e,w,p,s,g
225,e,w,p,n,g
226,e,w,p,s,g
227,p,w,p,v,u
228,e,w,p,n,g
229,e,w,p,y,u
230,p,w,p,s,u
231,e,w,p,y,p
232,e,w,p,v,u
233,e,w,p,n,g
234,e,w,p,v,d
235,e,w,p,s,g
236,e,w,p,s,g
237,e,w,p,s,g
238,e,w,p,s,p
239,e,w,p,y,p
240,e,w,p,s,g
241,e,w,p,n,m
242,p,w,p,v,u
243,e,w,p,v,d
244,e,w,p,s,g
245,e,w,p,v,d
246,e,w,p,s,m
247,e,w,p,y,p
248,e,w,e,s,g
249,e,w,p,y,g
250,p,w,p,s,g
251,e,w,p,v,u
252,e,w,p,s,m
253,e,w,p,s,g
254,e,w,p,n,m
255,e,w,p,v,u
256,e,w,p,n,m
257,e,w,p,n,g
258,e,w,p,n,m
259,e,w,p,s,g
260,p,w,p,v,g
261,e,w,p,n,g
262,e,w,p,s,m
263,e,w,p,v,d
264,e,w,p,v,u
265,e,w,e,a,g
266,e,w,p,s,m
267,e,w,p,s,m
268,p,w,p,s,u
269,e,w,p,n,m
270,p,w,p,v,u
271,e,w,p,s,g
272,e,w,p,n,m
273,e,w,p,s,p
274,e,w,p,s,p
275,e,w,p,y,g
276,e,w,p,n,m
277,e,w,e,s,g
278,e,w,p,n,m
279,p,w,p,s,g
280,e,w,p,n,m
281,e,w,p,v,u
282,e,w,p,s,m
283,e,w,p,n,m
284,e,w,p,s,g
285,e,w,p,s,m
286,e,w,p,s,g
287,e,w,p,y,p
288,e,w,p,y,u
289,e,w,p,y,u
290,e,w,p,s,g
291,e,w,p,s,m
292,e,w,p,s,g
293,e,w,p,s,m
294,e,w,p,n,m
295,e,w,p,s,m
296,e,w,e,s,g
297,e,w,p,v,d
298,p,w,p,s,g
299,e,w,e,a,g
300,e,w,p,s,g
301,e,w,p,v,d
302,e,w,p,s,g
303,e,w,p,s,g
304,e,w,p,y,d
305,e,w,p,s,m
306,e,w,p,n,m
307,e,w,p,y,g
308,e,w,e,s,g
309,e,w,p,s,g
310,p,w,p,v,g
311,e,w,p,s,g
312,e,w,p,v,d
313,e,w,p,n,g
314,p,w,p,v,u
315,e,w,p,v,d
316,e,w,p,n,m
317,e,w,p,v,d
318,e,w,p,v,d
319,e,w,p,s,m
320,e,w,p,v,d
321,e,w,p,s,g
322,e,w,p,s,m
323,e,w,p,s,p
324,e,w,p,n,g
325,e,w,p,s,m
326,p,w,p,v,u
327,e,w,p,n,g
328,e,w,p,n,g
329,p,w,p,v,u
330,e,w,p,s,m
331,e,w,p,n,m
332,e,w,p,s,g
333,e,w,p,n,g
334,e,w,p,y,d
335,e,w,p,y,g
336,e,w,p,s,g
337,e,w,p,v,u
338,e,w,p,y,g
339,e,w,p,s,g
340,e,w,p,n,g
341,e,w,p,s,m
342,e,w,p,v,d
343,e,w,p,s,g
344,e,w,e,a,g
345,e,w,p,v,d
346,e,w,p,n,m
347,e,w,e,s,g
348,e,w,p,y,u
349,e,w,e,a,g
350,e,w,p,s,p
351,e,w,p,s,g
352,e,w,p,s,m
353,e,w,p,s,p
354,e,w,p,v,u
355,e,w,p,y,p
356,p,w,p,s,u
357,e,w,p,y,p
358,e,w,p,s,g
359,e,w,e,s,g
360,e,w,e,a,g
361,e,w,e,a,g
362,e,w,p,s,p
363,e,w,p,n,g
364,e,w,p,v,u
365,e,w,p,s,p
366,e,w,p,v,d
367,e,w,p,n,g
368,e,w,e,s,g
369,e,w,p,s,g
370,e,w,p,y,g
371,e,w,p,s,m
372,e,w,p,y,u
373,e,w,p,s,m
374,e,w,p,n,g
375,e,w,p,y,u
376,e,w,p,n,m
377,e,w,p,n,g
378,e,w,p,s,g
379,p,w,p,s,u
380,e,w,e,s,g
381,e,w,p,s,m
382,e,w,p,n,g
383,e,w,p,y,d
384,p,w,p,s,u
385,e,w,p,y,p
386,e,w,e,a,g
387,e,w,p,n,m
388,e,w,p,n,m
389,e,w,p,s,m
390,e,w,p,n,m
391,e,w,p,n,g
392,e,w,p,v,u
393,e,w,p,s,g
394,e,w,e,a,g
395,e,w,p,n,m
396,e,w,p,s,m
397,e,w,p,v,u
398,p,w,p,s,u
399,e,w,p,n,g
400,e,w,p,n,m
401,p,w,p,v,u
402,e,w,p,s,m
403,e,w,p,s,m
404,e,w,p,s,m
405,e,w,p,n,g
406,e,w,p,s,m
407,e,w,p,s,g
408,e,w,p,y,p
409,e,w,p,s,m
410,e,w,e,s,g
411,e,w,p,s,p
412,e,w,p,y,g
413,p,w,p,v,g
414,e,w,p,n,g
415,e,w,p,v,d
416,p,w,p,s,u
417,e,w,p,n,g
418,e,w,e,a,g
419,e,w,p,s,g
420,e,w,p,s,m
421,p,w,p,s,u
422,e,w,p,s,g
423,e,w,p,n,m
424,e,w,p,v,d
425,e,w,p,y,p
426,e,w,p,n,m
427,e,w,e,a,g
428,e,w,p,v,u
429,e,w,p,s,g
430,e,w,p,y,g
431,e,w,p,s,g
432,e,w,p,s,g
433,e,w,p,v,d
434,e,w,p,n,m
435,e,w,p,v,d
436,e,w,p,n,m
437,e,w,p,n,m
438,e,w,p,y,p
439,e,w,p,s,m
440,e,w,p,s,m
441,e,w,p,y,p
442,e,w,p,n,m
443,e,w,p,n,m
444,e,w,p,s,g
445,e,w,p,n,g
446,e,w,p,s,g
447,e,w,p,s,m
448,e,w,p,y,d
449,e,w,p,s,m
450,e,w,p,n,g
451,e,w,p,n,m
452,e,w,p,v,d
453,e,w,p,n,m
454,e,w,e,a,g
455,e,w,p,n,g
456,e,w,p,s,m
457,e,w,p,y,p
458,e,w,p,y,p
459,e,w,p,s,m
460,e,w,p,s,g
461,e,w,p,s,g
462,e,w,p,n,m
463,e,w,p,v,u
464,e,w,p,y,g
465,e,w,p,n,m
466,e,w,p,n,g
467,e,w,p,n,g
468,e,w,p,s,p
469,e,w,p,n,g
470,e,w,p,n,m
471,e,w,p,v,d
472,e,w,p,y,u
473,e,w,p,v,d
474,e,w,p,y,u
475,e,w,p,y,u
476,e,w,p,n,g
477,e,w,p,v,d
478,e,w,p,s,m
479,e,w,p,s,m
480,e,w,p,s,g
481,e,w,p,v,d
482,e,w,p,y,u
483,e,w,p,v,d
484,e,w,p,y,g
485,e,w,p,s,m
486,e,w,p,y,u
487,e,w,p,s,p
488,e,w,p,s,p
489,e,w,p,v,d
490,p,w,p,s,g
491,p,w,p,v,u
492,e,w,p,s,p
493,e,w,p,s,g
494,e,w,p,n,m
495,e,w,e,a,g
496,e,w,p,s,g
497,e,w,p,s,g
498,e,w,p,n,m
499,e,w,p,n,g
500,e,w,p,n,g
501,e,w,p,n,m
502,e,w,p,s,m
503,e,w,p,s,g
504,p,w,p,v,g
505,e,w,e,s,g
506,e,w,e,a,g
507,e,w,p,v,d
508,e,w,p,v,u
509,e,w,p,y,u
510,e,w,p,s,g
511,e,w,p,v,d
512,e,w,p,v,u
513,e,w,p,v,u
514,e,w,e,a,g
515,e,w,p,y,p
516,e,w,p,n,g
517,e,w,p,s,g
518,e,w,p,n,g
519,e,w,p,n,m
520,e,w,p,s,g
521,e,w,p,y,p
522,p,w,p,s,u
523,e,w,p,y,u
524,e,w,p,s,g
525,e,w,p,s,p
526,e,w,p,s,m
527,e,w,p,y,u
528,e,w,p,y,p
529,e,w,p,y,p
530,e,w,p,s,g
531,p,w,p,s,g
532,e,w,p,y,p
533,p,w,p,s,g
534,e,w,e,s,g
535,e,w,p,s,m
536,e,w,p,v,u
537,e,w,p,s,m
538,e,w,p,v,d
539,e,w,p,s,m
540,e,w,e,s,g
541,p,w,p,s,g
542,e,w,p,s,g
543,e,w,e,a,g
544,e,w,p,s,m
545,e,w,p,s,m
546,e,w,p,v,u
547,e,w,p,v,d
548,e,w,p,n,m
549,e,w,p,y,u
550,e,w,e,s,g
551,e,w,p,s,p
552,e,w,p,v,d
553,e,w,p,s,g
554,e,w,p,y,p
555,p,w,p,v,u
556,e,w,p,v,d
557,e,w,p,n,g
558,e,w,p,n,m
559,e,w,p,s,g
560,e,w,p,v,d
561,e,w,p,v,d
562,e,w,e,s,g
563,e,w,p,s,m
564,p,w,p,v,g
565,e,w,p,n,g
566,e,w,e,s,g
567,p,w,p,s,g
568,e,w,p,n,m
569,e,w,p,n,m
570,e,w,p,v,d
571,e,w,p,n,g
572,e,w,p,n,g
573,e,w,p,y,g
574,e,w,p,s,g
575,e,w,p,v,u
576,e,w,p,s,g
577,e,w,p,y,g
578,p,w,p,s,g
579,e,w,p,n,m
580,e,w,p,s,m
581,e,w,p,n,g
582,e,w,p,y,g
583,e,w,p,s,g
584,e,w,p,s,m
585,e,w,p,v,u
586,e,w,p,y,u
587,e,w,p,v,u
588,e,w,p,n,m
589,p,w,p,s,u
590,e,w,e,s,g
591,e,w,p,s,g
592,p,w,p,s,g
593,e,w,p,n,m
594,p,w,p,v,u
595,e,w,p,n,m
596,e,w,p,s,m
597,p,w,p,s,g
598,p,w,p,s,u
599,e,w,e,a,g
600,e,w,p,y,g
601,e,w,e,a,g
602,e,w,p,s,p
603,e,w,p,s,m
604,e,w,p,n,g
605,e,w,e,s,g
606,e,w,p,y,g
607,e,w,p,s,m
608,e,w,p,v,u
609,e,w,e,a,g
610,e,w,e,s,g
611,e,w,e,a,g
612,p,w,p,s,u
613,e,w,p,s,g
614,e,w,p,s,g
615,e,w,e,a,g
616,e,w,p,s,g
617,e,w,p,n,m
618,e,w,p,y,u
619,e,w,p,s,g
620,e,w,p,n,g
621,e,w,p,v,d
622,e,w,p,s,p
623,e,w,p,y,u
624,e,w,p,s,m
625,e,w,p,v,d
626,e,w,p,y,u
627,e,w,p,s,g
628,e,w,p,n,g
629,e,w,e,s,g
630,e,w,p,n,m
631,e,w,p,v,d
632,e,w,p,s,g
633,e,w,p,s,g
634,e,w,p,s,m
635,e,w,p,s,g
636,e,w,p,n,m
637,e,w,e,s,g
638,e,w,p,s,m
639,e,w,p,n,m
640,e,w,p,y,g
641,e,w,p,s,p
642,e,w,p,y,g
643,e,w,p,s,p
644,e,w,p,v,d
645,e,w,p,s,m
646,e,w,p,n,m
647,e,w,p,s,g
648,e,w,p,v,d
649,e,w,p,s,g
650,e,w,p,n,m
651,e,w,p,y,g
652,p,w,p,s,g
653,p,w,p,v,u
654,e,w,p,s,g
655,e,w,e,s,g
656,e,w,p,n,g
657,e,w,p,y,p
658,e,w,p,y,u
659,e,w,p,s,g
660,e,w,p,s,m
661,p,w,p,s,g
662,p,w,p,s,g
663,e,w,p,s,g
664,e,w,p,n,m
665,e,w,p,s,g
666,e,w,p,y,g
667,e,w,p,y,p
668,e,w,p,n,g
669,e,w,p,s,g
670,e,w,p,v,u
671,e,w,e,a,g
672,e,w,p,v,d
673,e,w,p,s,p
674,e,w,p,y,u
675,e,w,p,v,u
676,e,w,p,y,g
677,e,w,p,y,p
678,e,w,p,s,m
679,e,w,p,v,d
680,e,w,p,n,m
681,e,w,p,v,d
682,e,w,p,n,g
683,e,w,p,v,d
684,e,w,p,n,m
685,e,w,p,v,u
686,e,w,p,s,m
687,e,w,p,n,m
688,e,w,p,s,g
689,e,w,p,s,g
690,e,w,p,s,g
691,e,w,p,s,p
692,e,w,e,a,g
693,p,w,p,s,g
694,e,w,p,s,g
695,e,w,p,s,m
696,p,w,p,v,g
697,p,w,p,v,u
698,e,w,e,a,g
699,p,w,p,s,g
700,e,w,e,a,g
701,e,w,p,s,p
702,e,w,p,n,m
703,e,w,p,s,p
704,e,w,p,y,p
705,e,w,p,n,m
706,e,w,p,y,u
707,e,w,p,n,m
708,e,w,p,n,m
709,e,w,p,s,p
710,e,w,e,a,g
711,e,w,p,s,m
712,e,w,p,n,g
713,e,w,p,s,g
714,e,w,p,s,m
715,e,w,p,s,m
716,e,w,p,s,p
717,e,w,p,s,g
718,e,w,p,v,u
719,e,w,p,s,g
720,e,w,p,n,g
721,e,w,p,v,d
722,e,w,e,a,g
723,e,w,p,s,g
724,p,w,p,v,g
725,e,w,p,n,g
726,e,w,e,s,g
727,e,w,p,s,m
728,e,w,p,s,m
729,e,w,p,y,g
730,e,w,e,s,g
731,p,w,p,s,g
732,p,w,p,s,u
733,e,w,p,n,g
734,e,w,p,s,g
735,e,w,p,v,d
736,p,w,p,s,u
737,e,w,p,s,g
738,e,w,p,v,u
739,e,w,p,v,u
740,e,w,p,s,m
741,e,w,p,s,g
742,e,w,p,n,m
743,e,w,p,s,p
744,e,w,p,n,g
745,e,w,p,s,g
746,e,w,p,s,m
747,p,w,p,v,u
748,e,w,p,v,d
749,e,w,p,s,p
750,e,w,p,n,g
751,e,w,p,v,d
752,e,w,p,s,g
753,e,w,p,n,m
754,e,w,p,n,g
755,e,w,p,y,g
756,e,w,e,a,g
757,e,w,p,n,m
758,e,w,p,y,p
759,e,w,p,n,g
760,e,w,p,y,g
761,e,w,p,n,g
762,e,w,p,v,u
763,e,w,p,s,p
764,e,w,e,a,g
765,e,w,p,v,d
766,e,w,p,y,u
767,e,w,p,s,m
768,e,w,p,n,m
769,e,w,p,n,g
770,e,w,p,s,m
771,e,w,p,n,m
772,e,w,p,v,d
773,e,w,e,a,g
774,e,w,p,s,g
775,p,w,p,s,u
776,e,w,p,y,g
777,e,w,p,n,g
778,e,w,p,n,m
779,e,w,p,s,m
780,e,w,p,y,u
781,e,w,p,s,m
782,e,w,p,s,m
783,e,w,p,n,g
784,p,w,p,v,g
785,e,w,p,v,u
786,e,w,p,n,g
787,p,w,p,s,g
788,e,w,p,y,p
789,e,w,p,s,g
790,e,w,p,y,p
791,e,w,p,n,g
792,e,w,p,n,g
793,p,w,p,v,g
794,p,w,p,s,u
795,e,w,p,n,g
796,e,w,e,s,g
797,p,w,p,v,g
798,e,w,p,s,p
799,e,w,p,n,m
800,e,w,p,n,g
801,p,w,p,v,u
802,e,w,p,n,g
803,e,w,p,n,g
804,e,w,p,s,g
805,e,w,p,s,g
806,e,w,p,y,g
807,e,w,p,s,m
808,e,w,p,v,d
809,e,w,p,n,m
810,e,w,p,n,m
811,p,w,p,v,u
812,p,w,p,v,g
813,p,w,p,v,u
814,e,w,p,s,m
815,e,w,p,y,g
816,e,w,p,y,g
817,e,w,p,v,d
818,e,w,p,n,g
819,e,w,p,n,m
820,e,w,p,v,u
821,e,w,p,s,m
822,e,w,p,s,g
823,e,w,p,s,p
824,e,w,p,s,m
825,e,w,p,v,d
826,e,w,p,v,d
827,e,w,p,s,m
828,e,w,p,v,d
829,e,w,p,v,u
830,e,w,p,v,d
831,e,w,p,y,g
832,e,w,p,s,g
833,e,w,p,y,p
834,p,w,p,v,g
835,e,w,p,s,m
836,p,w,p,s,u
837,e,w,p,s,g
838,e,w,p,s,g
839,e,w,p,v,d
840,p,w,p,v,g
841,e,w,p,s,g
842,e,w,p,y,u
843,e,w,p,n,g
844,e,w,e,s,g
845,e,w,p,s,m
846,e,w,p,s,g
847,e,w,p,n,m
848,e,w,p,v,d
849,e,w,p,s,g
850,e,w,p,s,g
851,e,w,p,y,u
852,e,w,e,a,g
853,e,w,p,v,u
854,e,w,p,s,p
855,e,w,p,v,d
856,e,w,p,s,g
857,e,w,p,n,m
858,p,w,p,v,g
859,e,w,p,y,p
860,e,w,p,s,g
861,e,w,p,s,g
862,e,w,p,n,g
863,e,w,p,s,m
864,e,w,p,s,g
865,e,w,p,v,u
866,e,w,p,y,p
867,e,w,p,y,u
868,e,w,p,n,g
869,e,w,p,y,p
870,e,w,p,n,g
871,e,w,p,s,m
872,e,w,p,v,d
873,e,w,p,s,m
874,e,w,p,s,p
875,e,w,p,n,m
876,e,w,p,n,g
877,e,w,p,y,g
878,e,w,p,n,g
879,e,w,p,v,d
880,e,w,e,s,g
881,e,w,p,n,g
882,e,w,p,n,g
883,e,w,p,s,g
884,e,w,p,v,d
885,e,w,p,s,g
886,e,w,p,y,g
887,e,w,p,y,p
888,e,w,p,n,g
889,e,w,p,y,d
890,e,w,p,y,g
891,e,w,p,n,g
892,e,w,p,s,m
893,e,w,p,s,m
894,e,w,p,s,g
895,e,w,p,n,g
896,e,w,p,n,m
897,e,w,p,s,m
898,e,w,p,s,g
899,e,w,p,y,p
900,e,w,e,a,g
901,e,w,e,s,g
902,e,w,e,s,g
903,e,w,p,n,m
904,e,w,e,s,g
905,p,w,p,s,g
906,e,w,e,s,g
907,p,w,p,v,u
908,p,w,p,v,g
909,e,w,p,n,g
910,e,w,e,a,g
911,e,w,p,n,g
912,e,w,e,a,g
913,e,w,e,s,g
914,e,w,p,n,g
915,e,w,p,s,m
916,e,w,p,y,d
917,e,w,e,a,g
918,e,w,e,s,g
919,e,w,e,a,g
920,e,w,e,a,g
921,e,w,p,n,g
922,e,w,p,v,d
923,e,w,e,s,g
924,e,w,e,a,g
925,e,w,e,a,g
926,p,w,p,s,u
927,e,w,p,y,u
928,e,w,p,n,m
929,e,w,e,a,g
930,e,w,e,s,g
931,p,w,p,v,g
932,e,w,p,s,g
933,e,w,p,y,u
934,e,w,e,s,g
935,e,w,p,n,m
936,e,w,e,s,g
937,e,w,e,a,g
938,e,w,p,y,d
939,e,w,p,n,g
940,e,w,e,s,g
941,p,w,p,s,g
942,e,w,e,s,g
943,e,w,p,v,d
944,e,w,e,a,g
945,e,w,e,s,g
946,e,w,p,s,g
947,e,w,e,a,g
948,p,w,p,v,u
949,p,w,p,s,u
950,e,w,p,s,g
951,e,w,e,a,g
952,e,w,e,a,g
953,e,w,e,s,g
954,e,w,p,s,m
955,p,w,p,v,u
956,e,w,p,v,d
957,e,w,p,v,d
958,e,w,p,n,m
959,e,w,e,a,g
960,e,w,e,a,g
961,e,w,p,v,d
962,e,w,p,y,d
963,e,w,e,s,g
964,e,w,e,s,g
965,p,w,p,s,g
966,e,w,p,y,d
967,e,w,e,s,g
968,e,w,e,s,g
969,e,w,e,s,g
970,e,w,p,v,d
971,e,w,p,v,d
972,e,w,e,s,g
973,e,w,p,y,d
974,e,w,e,s,g
975,e,w,p,n,g
976,e,w,p,y,d
977,e,w,p,s,g
978,e,w,e,a,g
979,e,w,p,y,d
980,e,w,p,s,m
981,e,w,e,s,g
982,e,w,e,s,g
983,p,w,p,s,u
984,e,w,e,s,g
985,e,w,e,a,g
986,e,w,e,a,g
987,e,w,e,a,g
988,e,w,p,n,g
989,e,w,p,n,m
990,e,w,e,a,g
991,e,w,e,s,g
992,e,w,p,v,u
993,e,w,e,s,g
994,e,w,e,a,g
995,e,w,p,s,m
996,e,w,p,v,d
997,e,w,p,n,m
998,p,w,p,v,u
999,e,w,p,y,d
1000,e,w,p,y,g
1001,e,w,e,s,g
1002,p,w,p,v,g
1003,e,w,p,y,g
1004,e,w,e,a,g
1005,e,w,e,a,g
1006,e,w,e,s,g
1007,e,w,e,a,g
1008,e,w,p,s,g
1009,e,w,p,s,m
1010,e,w,e,s,g
1011,e,w,p,s,p
1012,e,w,e,s,g
1013,e,w,e,s,g
1014,e,w,p,v,d
1015,e,w,p,s,g
1016,e,w,p,y,d
1017,p,w,p,s,g
1018,e,w,p,v,d
1019,e,w,e,a,g
1020,e,w,p,n,m
1021,e,w,p,n,g
1022,e,w,p,s,m
1023,p,w,p,v,u
1024,p,w,p,s,g
1025,e,w,p,v,u
1026,e,w,p,v,d
1027,e,w,p,n,m
1028,e,w,e,a,g
1029,e,w,p,y,d
1030,p,w,p,v,g
1031,e,w,e,s,g
1032,e,w,e,s,g
1033,e,w,e,s,g
1034,e,w,e,a,g
1035,e,w,p,s,m
1036,e,w,p,v,d
1037,e,w,p,y,u
1038,p,w,p,s,u
1039,e,w,p,y,p
1040,e,w,p,s,p
1041,e,w,e,a,g
1042,e,w,p,v,d
1043,e,w,e,a,g
1044,e,w,p,s,g
1045,e,w,e,s,g
1046,p,w,p,s,u
1047,e,w,p,v,d
1048,e,w,e,a,g
1049,e,w,p,v,d
1050,e,w,p,y,d
1051,e,w,e,a,g
1052,e,w,p,s,p
1053,e,w,e,s,g
1054,e,w,p,s,g
1055,e,w,p,v,d
1056,e,w,e,s,g
1057,e,w,p,n,g
1058,e,w,e,s,g
1059,e,w,e,a,g
1060,e,w,p,v,d
1061,e,w,e,s,g
1062,e,w,e,s,g
1063,p,w,p,s,u
1064,e,w,p,v,d
1065,e,w,p,s,g
1066,e,w,e,a,g
1067,e,w,p,v,d
1068,e,w,p,s,g
1069,e,w,e,a,g
1070,p,w,p,v,g
1071,e,w,p,s,g
1072,e,w,p,y,d
1073,e,w,p,s,p
1074,e,w,e,a,g
1075,e,w,p,y,u
1076,p,w,p,v,g
1077,e,w,e,s,g
1078,e,w,p,s,p
1079,e,w,e,a,g
1080,p,w,p,v,u
1081,e,w,p,n,m
1082,e,w,e,s,g
1083,e,w,p,n,g
1084,e,w,e,s,g
1085,e,w,p,n,m
1086,e,w,p,n,m
1087,p,w,p,v,g
1088,e,w,p,s,g
1089,e,w,p,y,u
1090,e,w,p,y,g
1091,e,w,e,a,g
1092,e,w,p,v,d
1093,e,w,e,a,g
1094,p,w,p,v,u
1095,e,w,e,a,g
1096,e,w,e,a,g
1097,e,w,e,s,g
1098,p,w,p,s,g
1099,e,w,e,a,g
1100,e,w,e,s,g
1101,e,w,e,s,g
1102,p,w,p,s,g
1103,e,w,e,a,g
1104,e,w,e,a,g
1105,p,w,p,v,u
1106,e,w,e,a,g
1107,e,w,p,n,g
1108,e,w,e,a,g
1109,e,w,e,a,g
1110,p,w,p,s,g
1111,e,w,p,s,g
1112,e,w,e,a,g
1113,e,w,p,s,g
1114,e,w,e,s,g
1115,e,w,e,s,g
1116,e,w,e,s,g
1117,e,w,e,s,g
1118,e,w,e,s,g
1119,e,w,e,s,g
1120,e,w,e,a,g
1121,e,w,e,s,g
1122,e,w,p,v,d
1123,e,w,p,v,d
1124,e,w,e,s,g
1125,e,w,e,a,g
1126,e,w,p,n,g
1127,e,w,e,a,g
1128,e,w,e,a,g
1129,p,w,p,v,u
1130,e,w,e,a,g
1131,p,w,p,s,g
1132,e,w,e,s,g
1133,e,w,p,n,g
1134,e,w,e,s,g
1135,e,w,p,y,d
1136,e,w,p,s,g
1137,e,w,e,a,g
1138,e,w,e,a,g
1139,e,w,e,a,g
1140,e,w,p,v,d
1141,e,w,e,s,g
1142,e,w,e,a,g
1143,e,w,e,a,g
1144,e,w,e,s,g
1145,e,w,e,s,g
1146,e,w,e,a,g
1147,e,w,e,a,g
1148,e,w,e,a,g
1149,e,w,e,a,g
